Property_Title,Price_Lakhs,Area_SqFt,BHK,Bathrooms,Furnishing,Seller_Type,Locality,City,Source
"Studio Apartment for Sale in Sun Rising Homes, Jagatpur, Ahmedabad",4700.0,500.0,1.0,1.0,Furnished,Owner,"Sun Rising Homes, Jagatpur, Ahmedabad",Ahmedabad,MagicBricks
"3 BHK Flat for Sale in Avirat Silver Brook, Shilaj, Ahmedabad",8000.0,850.0,3.0,3.0,Semi-Furnished,Owner,"Avirat Silver Brook, Shilaj, Ahmedabad",Ahmedabad,MagicBricks
"2 BHK Flat for Sale in Riverside Park, Ahmedabad",4500.0,127.0,2.0,2.0,Semi-Furnished,Owner,"Riverside Park, Ahmedabad",Ahmedabad,MagicBricks
"2 BHK Flat for Sale in Nigam Nagar, Chandkheda, Ahmedabad",3900.0,864.0,2.0,2.0,Unfurnished,Owner,"Nigam Nagar, Chandkheda, Ahmedabad",Ahmedabad,MagicBricks
"3 BHK Flat for Sale in Pacifica North Enclave, Vaishnodevi Circle, Ahmedabad",7200.0,803.0,3.0,3.0,Unfurnished,Owner,"Pacifica North Enclave, Vaishnodevi Circle, Ahmedabad",Ahmedabad,MagicBricks
"2 BHK Flat for Sale in JBR Residency, Sola, Ahmedabad",9000.0,141.0,2.0,2.0,Furnished,Owner,"Jbr Residency, Sola, Ahmedabad",Ahmedabad,MagicBricks
"4 BHK Flat for Sale in Viceroy Ville, Science City Road, Ahmedabad",325.0,3000.0,4.0,3.0,Furnished,Owner,"Viceroy Ville, Science City Road, Ahmedabad",Ahmedabad,MagicBricks
"2 BHK Flat for Sale in Juhapura, Ahmedabad",7750.0,924.0,2.0,2.0,Furnished,Owner,"Juhapura, Ahmedabad",Ahmedabad,MagicBricks
"2 BHK Flat for Sale in Unity Domain Heights, Shyamal Cross Road, Ahmedabad",110.0,1377.0,2.0,2.0,Unfurnished,Owner,"Unity Domain Heights, Shyamal Cross Road, Ahmedabad",Ahmedabad,MagicBricks
"2 BHK Flat for Sale in Nirmal Shanthi Tower, Bodakdev, Ahmedabad",9500.0,1235.0,2.0,2.0,Semi-Furnished,Owner,"Nirmal Shanthi Tower, Bodakdev, Ahmedabad",Ahmedabad,MagicBricks
"1 BHK Flat for Sale in Maninagar East, Maninagar, Ahmedabad",3600.0,7500.0,1.0,1.0,Semi-Furnished,Owner,"Maninagar East, Maninagar, Ahmedabad",Ahmedabad,MagicBricks
"2 BHK Flat for Sale in Nila Anaahata, Makarba, Ahmedabad",6950.0,960.0,2.0,2.0,Furnished,Owner,"Nila Anaahata, Makarba, Ahmedabad",Ahmedabad,MagicBricks
"3 BHK Flat for Sale in Savvy Swaraj Phase 2, Jagatpur Road, Ahmedabad",120.0,1730.0,3.0,3.0,Furnished,Owner,"Savvy Swaraj Phase 2, Jagatpur Road, Ahmedabad",Ahmedabad,MagicBricks
"3 BHK Flat for Sale in Applewoods Sorrel Apartments, South Bopal, Bopal, Ahmedabad",8200.0,1150.0,3.0,3.0,Unfurnished,Owner,"Applewoods Sorrel Apartments, South Bopal, Bopal, Ahmedabad",Ahmedabad,MagicBricks
"3 BHK Flat for Sale in Westend Park, Thaltej, Ahmedabad",9000.0,1250.0,3.0,3.0,Unfurnished,Owner,"Westend Park, Thaltej, Ahmedabad",Ahmedabad,MagicBricks
"2 BHK Flat for Sale in Vatva, Ahmedabad",4500.0,900.0,2.0,2.0,Furnished,Owner,"Vatva, Ahmedabad",Ahmedabad,MagicBricks
"2 BHK Flat for Sale in Vandemataram Crosswind, Gota, Ahmedabad",6500.0,1242.0,2.0,2.0,Furnished,Agent,"Vandemataram Crosswind, Gota, Ahmedabad",Ahmedabad,MagicBricks
"4 BHK Flat for Sale in Goyal Riviera Prestige, Makarba, Ahmedabad",180.0,3611.0,4.0,3.0,Unfurnished,Agent,"Goyal Riviera Prestige, Makarba, Ahmedabad",Ahmedabad,MagicBricks
"2 BHK Flat for Sale in Zaveri Greens, Ghuma, Ahmedabad",5800.0,687.0,2.0,2.0,Unfurnished,Owner,"Zaveri Greens, Ghuma, Ahmedabad",Ahmedabad,MagicBricks
"3 BHK Flat for Sale in Siddhi Aarohi Elegance, South Bopal, Bopal, Ahmedabad",950.0,1435.0,3.0,3.0,Semi-Furnished,Owner,"Siddhi Aarohi Elegance, South Bopal, Bopal, Ahmedabad",Ahmedabad,MagicBricks
"2 BHK Flat for Sale in Parshwanath Atlantis Park, Sughad, Ahmedabad",4650.0,1179.0,2.0,2.0,Furnished,Owner,"Parshwanath Atlantis Park, Sughad, Ahmedabad",Ahmedabad,MagicBricks
