Property_Title,Price_Lakhs,Area_SqFt,BHK,Bathrooms,Furnishing,Seller_Type,Locality,City,Source,Locality_Encoded,Furnishing_Encoded,Locality_Tier,Locality_Tier_Encoded,BHK_Tier_Interaction
"Studio Apartment for Sale in Sun Rising Homes, Jagatpur, Ahmedabad",47.0,500.0,1.0,1.0,Furnished,Owner,"Sun Rising Homes, Jagatpur, Ahmedabad",Ahmedabad,MagicBricks,1054,0,Mid-Range,2,2.0
"3 BHK Flat for Sale in Avirat Silver Brook, Shilaj, Ahmedabad",80.0,850.0,3.0,3.0,Semi-Furnished,Owner,"Avirat Silver Brook, Shilaj, Ahmedabad",Ahmedabad,MagicBricks,148,1,Mid-Range,2,6.0
"2 BHK Flat for Sale in Riverside Park, Ahmedabad",45.0,127.0,2.0,2.0,Semi-Furnished,Owner,"Riverside Park, Ahmedabad",Ahmedabad,MagicBricks,715,1,High-End,1,2.0
"2 BHK Flat for Sale in Nigam Nagar, Chandkheda, Ahmedabad",39.0,864.0,2.0,2.0,Unfurnished,Owner,"Nigam Nagar, Chandkheda, Ahmedabad",Ahmedabad,MagicBricks,571,2,High-End,1,2.0
"3 BHK Flat for Sale in Pacifica North Enclave, Vaishnodevi Circle, Ahmedabad",72.0,803.0,3.0,3.0,Unfurnished,Owner,"Pacifica North Enclave, Vaishnodevi Circle, Ahmedabad",Ahmedabad,MagicBricks,610,2,High-End,1,3.0
"2 BHK Flat for Sale in JBR Residency, Sola, Ahmedabad",90.0,141.0,2.0,2.0,Furnished,Owner,"Jbr Residency, Sola, Ahmedabad",Ahmedabad,MagicBricks,396,0,Premium,3,6.0
"4 BHK Flat for Sale in Viceroy Ville, Science City Road, Ahmedabad",3.25,3000.0,4.0,3.0,Furnished,Owner,"Viceroy Ville, Science City Road, Ahmedabad",Ahmedabad,MagicBricks,1171,0,Budget,0,0.0
"2 BHK Flat for Sale in Juhapura, Ahmedabad",77.5,924.0,2.0,2.0,Furnished,Owner,"Juhapura, Ahmedabad",Ahmedabad,MagicBricks,407,0,High-End,1,2.0
"2 BHK Flat for Sale in Unity Domain Heights, Shyamal Cross Road, Ahmedabad",1.1,1377.0,2.0,2.0,Unfurnished,Owner,"Unity Domain Heights, Shyamal Cross Road, Ahmedabad",Ahmedabad,MagicBricks,1139,2,Budget,0,0.0
"2 BHK Flat for Sale in Nirmal Shanthi Tower, Bodakdev, Ahmedabad",95.0,1235.0,2.0,2.0,Semi-Furnished,Owner,"Nirmal Shanthi Tower, Bodakdev, Ahmedabad",Ahmedabad,MagicBricks,582,1,Premium,3,6.0
