Property Title,Price,Area,BHK,Bathrooms,Furnishing,Seller Type,Locality,City,Source,Raw_Details
"4, 5 BHK Flat,Duplexesin Shilaj","BIBequest Infraprojects Llp1/30Zero BrokerageShyaswa SarovarRERA4, 5 BHK Flat,Duplexesin Shilaj4 BHK Flat₹4.5 Cr5 BHK Duplex₹8.03 CrAvg. Price: ₹14.17 K/sq.ftPossession: Dec, 2029Updated1w agoContact",N/A,5 BHK,N/A,N/A,Agent,Ahmedabad,Ahmedabad,Housing.com,"BI | Bequest Infraprojects Llp | 1 | / | 30 | Zero Brokerage | Shyaswa Sarovar | RERA | 4, 5 BHK Flat,Duplexes | in Shilaj | 4 BHK Flat | ₹4.5 Cr | 5 BHK Duplex | ₹8.03 Cr | Avg. Price: ₹14.17 K/sq.ft | Possession: Dec, 2029 | Updated | 1w ago | Contact"
"3, 4 BHK Flatsin Vastral","PIPropus Infracon1/9Zero BrokeragePropus ClaraRERA3, 4 BHK Flatsin Vastral3 BHK Flat₹1.04 Cr4 BHK Flat₹1.4 CrAvg. Price: ₹3.78 K/sq.ftPossession: Nov, 2026Contact",N/A,4 BHK,N/A,N/A,Agent,Ahmedabad,Ahmedabad,Housing.com,"PI | Propus Infracon | 1 | / | 9 | Zero Brokerage | Propus Clara | RERA | 3, 4 BHK Flats | in Vastral | 3 BHK Flat | ₹1.04 Cr | 4 BHK Flat | ₹1.4 Cr | Avg. Price: ₹3.78 K/sq.ft | Possession: Nov, 2026 | Contact"
3 BHK Flatin Ognaj,"VRVibgyor Reality1/14Zero BrokerageSculptureRERA3 BHK Flatin Ognaj3 BHK Flat₹1.65 CrAvg. Price: ₹4.46k/sq.ydPossession: Oct, 2027Updated6d agoContact",N/A,3 BHK,N/A,N/A,Agent,Ahmedabad,Ahmedabad,Housing.com,"VR | Vibgyor Reality | 1 | / | 14 | Zero Brokerage | Sculpture | RERA | 3 BHK Flat | in Ognaj | 3 BHK Flat | ₹1.65 Cr | Avg. Price: ₹4.46k/sq.yd | Possession: Oct, 2027 | Updated | 6d ago | Contact"
"3, 4, 5 BHK Flat,Penthousesin Gota","Addor Group+2more1/10Zero BrokerageAddor Evara3, 4, 5 BHK Flat,Penthousesin Gota3 BHK Flat₹1.72 Cr4 BHK Flat₹2.41 Cr4 BHK Penthouse₹3.15 Cr5 BHK Penthouse₹4.21 CrAvg. Price: ₹6.91 K/sq.ftPossession: Dec, 2028Contact",N/A,5 BHK,N/A,N/A,Agent,Ahmedabad,Ahmedabad,Housing.com,"Addor Group | + | 2 | more | 1 | / | 10 | Zero Brokerage | Addor Evara | 3, 4, 5 BHK Flat,Penthouses | in Gota | 3 BHK Flat | ₹1.72 Cr | 4 BHK Flat | ₹2.41 Cr | 4 BHK Penthouse | ₹3.15 Cr | 5 BHK Penthouse | ₹4.21 Cr | Avg. Price: ₹6.91 K/sq.ft | Possession: Dec, 2028 | Contact"
"1, 2 BHK Flatsin Sanand","JWJanaadhar Western Projects LLP1/28Zero BrokerageJanaadhar SanandRERA1, 2 BHK Flatsin Sanand1 BHK Flat₹23.17 L2 BHK Flat₹27.9 LAvg. Price: ₹5.49 K - ₹6.35 K/sq.ftPossession: Dec, 2027Contact",N/A,2 BHK,N/A,N/A,Agent,Ahmedabad,Ahmedabad,Housing.com,"JW | Janaadhar Western Projects LLP | 1 | / | 28 | Zero Brokerage | Janaadhar Sanand | RERA | 1, 2 BHK Flats | in Sanand | 1 BHK Flat | ₹23.17 L | 2 BHK Flat | ₹27.9 L | Avg. Price: ₹5.49 K - ₹6.35 K/sq.ft | Possession: Dec, 2027 | Contact"
4 BHK Flatin Bhat,"SHIVALIK GROUP1/13Zero BrokerageShivalik The CrownRERA4 BHK Flatin Bhat4 BHK Flat₹2.65 Cr - 2.7 CrAvg. Price: ₹10.79 K/sq.ftPossession: Dec, 2026Contact",N/A,4 BHK,N/A,N/A,Agent,Ahmedabad,Ahmedabad,Housing.com,"SHIVALIK GROUP | 1 | / | 13 | Zero Brokerage | Shivalik The Crown | RERA | 4 BHK Flat | in Bhat | 4 BHK Flat | ₹2.65 Cr - 2.7 Cr | Avg. Price: ₹10.79 K/sq.ft | Possession: Dec, 2026 | Contact"
3 BHK Flatin Sola,"Unique Infraspace Pvt Ltd+1more1/43Zero BrokerageUnique LuxuriaRERA3 BHK Flatin Sola3 BHK Flat₹1.54 CrAvg. Price: ₹6.1k/sq.ydPossession: Dec, 2026Updated3w agoContact",N/A,3 BHK,N/A,N/A,Agent,Ahmedabad,Ahmedabad,Housing.com,"Unique Infraspace Pvt Ltd | + | 1 | more | 1 | / | 43 | Zero Brokerage | Unique Luxuria | RERA | 3 BHK Flat | in Sola | 3 BHK Flat | ₹1.54 Cr | Avg. Price: ₹6.1k/sq.yd | Possession: Dec, 2026 | Updated | 3w ago | Contact"
3 BHK Flatin Near Nirma University On SG Highway,"Satya Sankalp Group+1more1/263D viewZero BrokerageThe QRERA3 BHK Flatin Near Nirma University On SG Highway3 BHK Flat₹1.1 Cr - 1.17 CrAvg. Price: ₹49.56 K/sq.ydPossession: May, 2027Contact",N/A,3 BHK,N/A,N/A,Agent,Ahmedabad,Ahmedabad,Housing.com,"Satya Sankalp Group | + | 1 | more | 1 | / | 26 | 3D view | Zero Brokerage | The Q | RERA | 3 BHK Flat | in Near Nirma University On SG Highway | 3 BHK Flat | ₹1.1 Cr - 1.17 Cr | Avg. Price: ₹49.56 K/sq.yd | Possession: May, 2027 | Contact"
"3, 4 BHK Flatsin Ambawadi","Swara Group1/13Zero BrokerageSwara SkyparkRERA3, 4 BHK Flatsin Ambawadi3 BHK Flat₹1.68 Cr4 BHK Flat₹1.9 Cr - 2.09 CrAvg. Price: ₹6.98 K/sq.ftPossession: Nov, 2028Updated3w agoContact",N/A,4 BHK,N/A,N/A,Agent,Ahmedabad,Ahmedabad,Housing.com,"Swara Group | 1 | / | 13 | Zero Brokerage | Swara Skypark | RERA | 3, 4 BHK Flats | in Ambawadi | 3 BHK Flat | ₹1.68 Cr | 4 BHK Flat | ₹1.9 Cr - 2.09 Cr | Avg. Price: ₹6.98 K/sq.ft | Possession: Nov, 2028 | Updated | 3w ago | Contact"
3 BHK Flatin Usmanpura,"RATNAMOHAN GROUP1/16Zero BrokerageSiddharth Green ValleyRERA3 BHK Flatin Usmanpura3 BHK Flat₹1.11 CrAvg. Price: ₹5.87k/sq.ydPossession: Mar, 2027Contact",N/A,3 BHK,N/A,N/A,Agent,Ahmedabad,Ahmedabad,Housing.com,"RATNAMOHAN GROUP | 1 | / | 16 | Zero Brokerage | Siddharth Green Valley | RERA | 3 BHK Flat | in Usmanpura | 3 BHK Flat | ₹1.11 Cr | Avg. Price: ₹5.87k/sq.yd | Possession: Mar, 2027 | Contact"
